id,sta,ymd,ydec,doy,x,y,z,zone,utm_e,utm_n,lat,lon,ell_h,msl_h
KOGD001,KOGD,2020-01-01 00:00:00,2020.0027322,1,-1356671.04718,6098368.02677,1280387.72995,47,886290.0648,1291158.4275,11.658063011019,102.542041126005,35.9577,55.7975
KOGD003,KOGD,2020-01-03 00:00:00,2020.0081967,3,-1356671.04771,6098368.03331,1280387.72846,47,886290.0639,1291158.4247,11.658062985927,102.542041117743,35.9638,55.8036
KOGD004,KOGD,2020-01-04 00:00:00,2020.0109290,4,-1356671.04807,6098368.04231,1280387.72961,47,886290.0623,1291158.4240,11.658062979910,102.542041102969,35.9727,55.8125
KOGD005,KOGD,2020-01-05 00:00:00,2020.0136612,5,-1356671.04931,6098368.04194,1280387.72952,47,886290.0636,1291158.4240,11.658062979309,102.542041114905,35.9726,55.8124
KOGD006,KOGD,2020-01-06 00:00:00,2020.0163934,6,-1356671.04624,6098368.03906,1280387.73432,47,886290.0612,1291158.4294,11.658063028131,102.542041093077,35.9701,55.8100
KOGD007,KOGD,2020-01-07 00:00:00,2020.0191257,7,-1356671.05130,6098368.04150,1280387.73413,47,886290.0656,1291158.4285,11.658063020117,102.542041133526,35.9735,55.8133
KOGD008,KOGD,2020-01-08 00:00:00,2020.0218579,8,-1356671.04782,6098368.04830,1280387.73880,47,886290.0607,1291158.4319,11.658063050676,102.542041088840,35.9802,55.8200
KOGD009,KOGD,2020-01-09 00:00:00,2020.0245902,9,-1356671.04643,6098368.04644,1280387.74852,47,886290.0596,1291158.4418,11.658063140596,102.542041080071,35.9801,55.8199
KOGD010,KOGD,2020-01-10 00:00:00,2020.0273224,10,-1356671.05378,6098368.04456,1280387.73617,47,886290.0673,1291158.4299,11.658063031748,102.542041149627,35.9774,55.8172
KOGD011,KOGD,2020-01-11 00:00:00,2020.0300546,11,-1356671.05279,6098368.04596,1280387.73266,47,886290.0661,1291158.4262,11.658062998572,102.542041137991,35.9778,55.8176
KOGD012,KOGD,2020-01-12 00:00:00,2020.0327869,12,-1356671.04929,6098368.03586,1280387.73128,47,886290.0649,1291158.4269,11.658063005726,102.542041126751,35.9671,55.8069
KOGD013,KOGD,2020-01-13 00:00:00,2020.0355191,13,-1356671.05131,6098368.03733,1280387.73249,47,886290.0665,1291158.4278,11.658063013056,102.542041141894,35.9692,55.8090
KOGD017,KOGD,2020-01-17 00:00:00,2020.0464481,17,-1356671.04731,6098368.03711,1280387.72945,47,886290.0627,1291158.4250,11.658062988071,102.542041106571,35.9675,55.8073
KOGD018,KOGD,2020-01-18 00:00:00,2020.0491803,18,-1356671.04784,6098368.03496,1280387.72892,47,886290.0637,1291158.4248,11.658062987006,102.542041115574,35.9655,55.8053
KOGD019,KOGD,2020-01-19 00:00:00,2020.0519126,19,-1356671.05070,6098368.04504,1280387.72873,47,886290.0643,1291158.4226,11.658062966218,102.542041121130,35.9757,55.8155
KOGD020,KOGD,2020-01-20 00:00:00,2020.0546448,20,-1356671.05257,6098368.04054,1280387.72992,47,886290.0671,1291158.4246,11.658062984003,102.542041146824,35.9720,55.8118
KOGD021,KOGD,2020-01-21 00:00:00,2020.0573770,21,-1356671.04995,6098368.04447,1280387.73026,47,886290.0637,1291158.4242,11.658062981102,102.542041115544,35.9753,55.8151
KOGD023,KOGD,2020-01-23 00:00:00,2020.0628415,23,-1356671.05011,6098368.05210,1280387.73643,47,886290.0621,1291158.4287,11.658063021998,102.542041101765,35.9839,55.8237
KOGD024,KOGD,2020-01-24 00:00:00,2020.0655738,24,-1356671.05168,6098368.04161,1280387.73008,47,886290.0660,1291158.4245,11.658062983909,102.542041136692,35.9729,55.8127
